"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"Les Gagnants du Jeu-&gt;https://t.co/czDEZF0d7w
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #madloto https://t.co/HlBVIDt38d";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080751620136960";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"MadLoto";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu -&gt; https://t.co/ryLHcA9XlX
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #mafiainc https://t.co/NnQ7iPWqSy";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080749493620736";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"MafiaInc_FR";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu -&gt; https://t.co/A67C9afaNs
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #quoverbis https://t.co/HKA1siCboe";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080749145497600";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"QuoVerbis";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu-&gt; https://t.co/EFfv6hgDfJ
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #cadovillage https://t.co/cuH73VzNpP";FALSE;0;NA;2016-09-14 15:30:44;FALSE;NA;"776080748797390849";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"CadoVillage";0;FALSE;FALSE;NA;NA
"<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
https://t.co/ZsIeuIGPTa
#Jeu #JeuConcours #madwin https://t.co/CjVM6vcjNN";FALSE;0;NA;2016-09-14 15:30:43;FALSE;NA;"776080747820089344";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"DreamCentury";0;FALSE;FALSE;NA;NA
"Les Gagnants du Jeu -&gt; https://t.co/fTo3A2CU92
<ed><U+00A0><U+00BC><ed><U+00BE><U+0081> La bonne réponse était des Souris ! <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>
#Jeu #JeuConcours #madwin https://t.co/gsdQ1hIK7Y";FALSE;0;NA;2016-09-14 15:30:43;FALSE;NA;"776080745542606848";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"MadWin_FR";0;FALSE;FALSE;NA;NA
"STOP TTIP // J-6 Ce mardi 20 septembre à 17h, des milliers de citoyens seront dans les rues de Bruxelles.... https://t.co/FUawShBbDD";FALSE;0;NA;2016-09-14 15:30:43;FALSE;NA;"776080744976384001";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Mich_ka";0;FALSE;FALSE;NA;NA
"RT @AlainJGodbout: Nathalie Baye avec @sweetonarts au #TIFF16 en direct sur https://t.co/PJFrOBK06I https://t.co/CoRyUQqSXQ";FALSE;0;NA;2016-09-14 15:30:42;FALSE;NA;"776080744183627776";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"sweetonarts";2;TRUE;FALSE;NA;NA
"CHAQUE WEEK END C'EST LA FOLIE !!!! 

LIKE ET PARTAGE 

RESERVATION : 06 48 10 04 03 

#MIXCLUBPARIS #WEEKEND... https://t.co/PeNJD6pBiy";FALSE;0;NA;2016-09-14 15:30:41;FALSE;NA;"776080736008929280";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Joriscassa";0;FALSE;FALSE;NA;NA
"Tres belle https://t.co/Cjsf4aAxSu";FALSE;0;NA;2016-09-14 15:30:39;FALSE;NA;"776080727972671488";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"SusanneSeilkopf";0;FALSE;FALSE;NA;NA
"RT @RTORFAV_FR: #RT<ed><U+00A0><U+00BD><ed><U+00B4><U+0081> POUR Twitter
#FAV<U+2764> POUR Facebook https://t.co/SqMeHzpzkj";FALSE;0;NA;2016-09-14 15:30:37;FALSE;NA;"776080721911906304";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"Pedroka69";25;TRUE;FALSE;NA;NA
"RETOUR DE NOTRE SOIRÉE POKER AU PROFIT DES GYMNASTES !!! https://t.co/NfHPphGEi0";FALSE;0;NA;2016-09-14 15:30:36;FALSE;NA;"776080715326844929";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"clubgymnix";0;FALSE;FALSE;NA;NA
"Ce weekend, partez à la découverte des étoiles : retrouvez-nous au festival des Arts Mêlés à Eysines ! Prêt à... https://t.co/jWVN8u1KNg";FALSE;0;NA;2016-09-14 15:30:34;FALSE;NA;"776080707928088576";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"sew_et_laine";0;FALSE;FALSE;NA;NA
"Été indien ici en Normandie, alors rêvons encore un peu de mer turquoise en attendant le retour de la pluie ;)... https://t.co/UdcWR0LqnS";FALSE;0;NA;2016-09-14 15:30:34;FALSE;NA;"776080707353350146";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"atelierdesakuya";0;FALSE;FALSE;NA;NA
"Allons enfants de la Patrie
Le jour de gloire est arrivé.... ! https://t.co/kN8c8O9cdI";FALSE;0;NA;2016-09-14 15:30:33;FALSE;NA;"776080703150759936";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"AGENCELADS";0;FALSE;FALSE;NA;NA
"#KitCumpleColoresyVaquitas. Toppers cupcakes y para tortas con forma o circulares. Etiquetas para souvenirs.... https://t.co/S0GvkhwSV1";FALSE;0;NA;2016-09-14 15:30:32;FALSE;NA;"776080700206354432";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"EdithGero";0;FALSE;FALSE;NA;NA
"Ce samedi, notre circuit de visite de brasseries vous emmène découvrir - entre autres - la récente brasserie du... https://t.co/2UKbpmmT0k";FALSE;0;NA;2016-09-14 15:30:30;FALSE;NA;"776080693436772356";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"EchappeeBiere";0;FALSE;FALSE;NA;NA
"A33198161 - MARGOT - BOXER / AMSTAFF- F - 2 ANS - GARDIENNAGE POUR UNE PÉRIODE INDÉTERMINÉE

 **** Cette image... https://t.co/A3DKhtOpNz";FALSE;0;NA;2016-09-14 15:30:29;FALSE;NA;"776080687287984128";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"FOSTER_SPCAMTL";0;FALSE;FALSE;NA;NA
"RT @VeilleDeCM: Quand Thierry Lhermitte s’amuse à troller sur Facebook https://t.co/0YxVN1GAQq";FALSE;0;NA;2016-09-14 15:30:28;FALSE;NA;"776080681969520640";NA;"<a href=""https://twitter.com/"" rel=""nofollow"">Client Twitter Web</a>";"whiteswanpetit";4;TRUE;FALSE;NA;NA
"RT @VeilleDeCM: Quand Thierry Lhermitte s’amuse à troller sur Facebook https://t.co/0YxVN1GAQq";FALSE;0;NA;2016-09-14 15:30:27;FALSE;NA;"776080680895864833";NA;"<a href=""https://twitter.com/"" rel=""nofollow"">Client Twitter Web</a>";"blackleopardo_";4;TRUE;FALSE;NA;NA
"RT @VeilleDeCM: Quand Thierry Lhermitte s’amuse à troller sur Facebook https://t.co/0YxVN1GAQq";FALSE;0;NA;2016-09-14 15:30:27;FALSE;NA;"776080680799334400";NA;"<a href=""https://twitter.com/"" rel=""nofollow"">Client Twitter Web</a>";"orangeladybug78";4;TRUE;FALSE;NA;NA
"RT @LDLC: La boutique du Mans vous présente sa fus.. son PC qui accroche les 17365pts sous 3DMark DX12 https://t.co/lFo51iAkQi https://t.co…";FALSE;0;NA;2016-09-14 15:30:25;FALSE;NA;"776080672545005568";NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";"ReedBlaze";22;TRUE;FALSE;NA;NA
"RT @LDLC: La boutique du Mans vous présente sa fus.. son PC qui accroche les 17365pts sous 3DMark DX12 https://t.co/lFo51iAkQi https://t.co…";FALSE;0;NA;2016-09-14 15:30:25;FALSE;NA;"776080672494616576";NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";"HugDuino";22;TRUE;FALSE;NA;NA
"quand facebook lui réalise une joyeuse vidéo souvenir avec les photos d'un accident de la route https://t.co/LgUnTdrPy3";FALSE;0;NA;2016-09-14 15:30:25;FALSE;NA;"776080671588646912";NA;"<a href=""http://rigolado.com/trop"" rel=""nofollow"">Trop Rigolo</a>";"Rigolado";0;FALSE;FALSE;NA;NA
"j'aime https://t.co/F4O2dsn5gR";FALSE;0;NA;2016-09-14 15:30:23;FALSE;NA;"776080661404758017";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Camille_tnr";0;FALSE;FALSE;NA;NA
"j'aime https://t.co/3UzNkg2Do6";FALSE;0;NA;2016-09-14 15:30:23;FALSE;NA;"776080661291466752";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"XBaby_Swagiy";0;FALSE;FALSE;NA;NA
"Dès demain 9h30 sur lnr.fr https://t.co/yzz6VxAFME";FALSE;0;NA;2016-09-14 15:30:21;FALSE;NA;"776080654937251840";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Iciicicmontf";0;FALSE;FALSE;NA;NA
"EP 1 : UN DEFI LE MARATHON
Voilà pourquoi ils se sont lancés ! 
Enjoy et rdv sur Saucony France pour voir les... https://t.co/t4xrDHVhho";FALSE;0;NA;2016-09-14 15:30:20;FALSE;NA;"776080648704495616";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"letsmakeit_";0;FALSE;FALSE;NA;NA
"<ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>Nouvelle licence @TaifuComics - Given<ed><U+00A0><U+00BC><ed><U+00BE><U+00B5>

Avec Given, Natsuki Kizu nous livre une histoire... https://t.co/80jygQIL8i https://t.co/cUKBPdtUPq";FALSE;0;NA;2016-09-14 15:30:19;FALSE;NA;"776080644313063424";NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";"fujoblog";0;FALSE;FALSE;NA;NA
